Comprimento de Onda	IRR REAL 2
357,5230636	2,333272846
357,7374024	2,343974764
357,9517566	2,354677451
358,1661263	2,365380912
358,3805114	2,376085141
358,594912	2,386790145
358,809328	2,397495918
359,0237595	2,408202464
359,2382063	2,418909774
359,4526687	2,429617864
359,6671464	2,440326717
359,8816395	2,451036339
360,0961481	2,461746735
360,3106721	2,4724579
360,5252115	2,483169834
360,7397663	2,493882537
360,9543365	2,505799265
361,168922	2,518186477
361,383523	2,530574584
361,5981394	2,54296358
361,8127711	2,55535346
362,0274182	2,567744228
362,2420807	2,580135885
362,4567586	2,592528431
362,6714518	2,604921861
362,8861604	2,617316179
363,1008844	2,629711387
363,3156237	2,642107478
363,5303784	2,654504457
363,7451484	2,66690232
363,9599337	2,679301066
364,1747344	2,691700701
364,3895504	2,704101219
364,6043818	2,716502627
364,8192285	2,728904917
365,0340905	2,741308091
365,2489678	2,753712148
365,4638604	2,766117088
365,6787684	2,778522917
365,8936916	2,790929623
366,1086301	2,803337213
366,323584	2,815745692
366,5385531	2,828155048
366,7535376	2,840565293
366,9685373	2,852976416
367,1835523	2,865388422
367,3985825	2,877801305
367,6136281	2,890215077
367,8286889	2,902629727
368,043765	2,915045259
368,2588563	2,92746167
368,4739629	2,939878963
368,6890848	2,95229714
368,9042219	2,964716194
369,1193742	2,977136126
369,3345418	2,989556941
369,5497246	3,001978633
369,7649227	3,014401208
369,980136	3,026824661
370,1953645	3,039248992
370,4106082	3,051674199
370,6258672	3,06410029
370,8411413	3,076527253
371,0564307	3,088955099
371,2717352	3,101383816
371,487055	3,113813417
371,70239	3,126243895
371,9177401	3,138825776
372,1331055	3,153085454
372,348486	3,167346132
372,5638817	3,181607817
372,7792926	3,195870508
372,9947187	3,210134205
373,2101599	3,224398902
373,4256163	3,238664606
373,6410878	3,25293131
373,8565745	3,267199019
374,0720764	3,281467736
374,2875934	3,295737452
374,5031255	3,310008168
374,7186728	3,32427989
374,9342353	3,338552619
375,1498128	3,35282634
375,3654055	3,367101069
375,5810133	3,381376797
375,7966362	3,395653525
376,0122742	3,409931252
376,2279274	3,424209986
376,4435956	3,438489714
376,659279	3,452770447
376,8749775	3,467052181
377,090691	3,481334907
377,3064197	3,49561864
377,5221634	3,509903367
377,7379222	3,524189093
377,9536961	3,538475818
378,169485	3,552763537
378,3852891	3,567052263
378,6011082	3,581341981
378,8169423	3,595632693
379,0327916	3,609924411
379,2486558	3,624217116
379,4645351	3,63851082
379,6804295	3,652805525
379,8963389	3,667101222
380,1122634	3,681397919
380,3282029	3,69569561
380,5441574	3,709994294
380,7601269	3,72429397
380,9761115	3,738594647
381,1921111	3,752896317
381,4081256	3,767198973
381,6241552	3,781502629
381,8401998	3,795807278
382,0562595	3,810112927
382,2723341	3,824419563
382,4884237	3,838727192
382,7045282	3,853035807
382,9206478	3,867345422
383,1367824	3,882828809
383,3529319	3,898993678
383,5690964	3,91515967
383,7852759	3,931326783
384,0014703	3,947495011
384,2176797	3,96366436
384,4339041	3,979834831
384,6501434	3,996006416
384,8663976	4,012179116
385,0826668	4,028352938
385,298951	4,044527881
385,51525	4,060703931
385,731564	4,076881103
385,947893	4,093059397
386,1642368	4,109238797
386,3805956	4,12541932
386,5969693	4,141600956
386,8133579	4,157783707
387,0297614	4,173967572
387,2461799	4,190152559
387,4626132	4,206338653
387,6790614	4,222525861
387,8955245	4,238714184
388,1120025	4,25490362
388,3284954	4,271094171
388,5450031	4,287285829
388,7615258	4,303478609
388,9780633	4,319672495
389,1946156	4,335867489
389,4111829	4,352063604
389,627765	4,368260826
389,8443619	4,384459155
390,0609737	4,400658598
390,2776004	4,416859155
390,4942419	4,433060819
390,7108982	4,44926359
390,9275694	4,465467476
391,1442554	4,481672468
391,3609562	4,497878567
391,5776718	4,514085772
391,7944023	4,530294093
392,0111476	4,54650352
392,2279077	4,562714053
392,4446826	4,578925694
392,6614723	4,595138441
392,8782768	4,611352296
393,095096	4,627567249
393,3119301	4,643783317
393,528779	4,660000492
393,7456426	4,676218766
393,9625211	4,692438154
394,1794143	4,709334796
394,3963222	4,727403193
394,613245	4,745472831
394,8301825	4,763543694
395,0471347	4,781615782
395,2641018	4,79968911
395,4810835	4,817763655
395,69808	4,835839432
395,9150913	4,853916443
396,1321173	4,871994677
396,349158	4,890074137
396,5662134	4,908154821
396,7832836	4,926236737
397,0003685	4,944319879
397,2174681	4,962404244
397,4345824	4,980489835
397,6517115	4,998576658
397,8688552	5,016664697
398,0860136	5,034753961
398,3031868	5,052844457
398,5203746	5,07093617
398,7375771	5,089029107
398,9547943	5,107123269
399,1720262	5,125218656
399,3892728	5,143315266
399,606534	5,161413093
399,8238099	5,179512145
400,0411005	5,197612421
400,2584057	5,215713913
400,4757256	5,23381663
400,6930601	5,251920563
400,9104093	5,27002572
401,1277731	5,288132094
401,3451516	5,306239692
401,5625447	5,324348506
401,7799524	5,342458536
401,9973748	5,360569791
402,2148118	5,378682262
402,4322634	5,39679595
402,6497296	5,414910853
402,8672104	5,433026973
403,0847059	5,451144317
403,3022159	5,469262869
403,5197406	5,487382645
403,7372798	5,50550363
403,9548336	5,52362583
404,1724021	5,541749255
404,3899851	5,559873888
404,6075826	5,577999729
404,8251948	5,596126794
405,0428215	5,614255067
405,2604628	5,632887125
405,4781187	5,652826994
405,6957891	5,672768191
405,9134741	5,692710725
406,1311736	5,712654588
406,3488877	5,732599788
406,5666163	5,752546317
406,7843594	5,772494174
407,0021171	5,792443369
407,2198893	5,812393892
407,4376761	5,832345752
407,6554773	5,852298932
407,8732931	5,872253449
408,0911234	5,892209295
408,3089682	5,912166469
408,5268275	5,932124971
408,7447013	5,952084802
408,9625896	5,972045961
409,1804925	5,992008458
409,3984097	6,011972264
409,6163415	6,031937408
409,8342878	6,051903881
410,0522485	6,071871673
410,2702238	6,091840802
410,4882134	6,111811242
410,7062176	6,131783019
410,9242362	6,151756115
411,1422693	6,171730539
411,3603168	6,191706283
411,5783788	6,211683355
411,7964552	6,231661746
412,014546	6,251641457
412,2326513	6,271622496
412,4507711	6,291604863
412,6689052	6,31158854
412,8870538	6,331573546
413,1052168	6,351559871
413,3233942	6,371547515
413,5415861	6,391536487
413,7597923	6,41152677
413,978013	6,431518381
414,196248	6,451511302
414,4144974	6,471505542
414,6327613	6,491501111
414,8510395	6,511497989
415,0693321	6,531496187
415,2876391	6,551495704
415,5059605	6,57149654
415,7242962	6,591498686
415,9426463	6,611502152
416,1610108	6,631506937
416,3793896	6,652218348
416,5977828	6,674166021
416,8161903	6,696115132
417,0346122	6,718065689
417,2530485	6,740017693
417,471499	6,761971125
417,6899639	6,783926004
417,9084432	6,805882329
418,1269367	6,827840082
418,3454446	6,849799282
418,5639668	6,87175992
418,7825033	6,893721994
419,0010542	6,915685515
419,2196193	6,937650464
419,4381988	6,959616859
419,6567925	6,981584682
419,8754005	7,003553941
420,0940229	7,025524648
420,3126595	7,047496782
420,5313104	7,069470353
420,7499756	7,091445361
420,968655	7,113421796
421,1873487	7,135399669
421,4060567	7,157378978
421,624779	7,179359724
421,8435155	7,201341898
422,0622663	7,223325508
422,2810313	7,245310546
422,4998106	7,267297021
422,7186041	7,289284922
422,9374118	7,311274251
423,1562338	7,333265017
423,37507	7,35525721
423,5939204	7,37725083
423,8127851	7,399245887
424,0316639	7,421242361
424,250557	7,443240272
424,4694643	7,46523961
424,6883858	7,487240375
424,9073215	7,509242568
425,1262714	7,531246187
425,3452355	7,553251233
425,5642138	7,575257707
425,7832063	7,597265607
426,002213	7,619274935
426,2212338	7,641285679
426,4402688	7,663297851
426,659318	7,685311449
426,8783813	7,707326465
427,0974588	7,729342908
427,3165505	7,751470359
427,5356563	7,77494035
